name,restaurant_type,business_size,location_budget,state,target_audience,foot_traffic,affordability,competitors,latitude,longitude
Kung Fu Chinese Restaurant,chinese,medium,200000,Kaduna,locals and travelers,high,affordable,various nearby restaurants,10.5486078,7.4592312
Big Treat,pizza;regional;chinese;fish_and_chips;international,medium,200000,Kaduna,locals and travelers,high,affordable,various nearby restaurants,10.5475918,7.4505505
Byblos,lebanese,medium,200000,Kaduna,locals and travelers,high,affordable,various nearby restaurants,10.5436064,7.4315809
Food Palace,Unknown,medium,200000,Kaduna,locals and travelers,high,affordable,various nearby restaurants,10.5118602,7.4543399
Mr. Biggs,Unknown,medium,200000,Kaduna,locals and travelers,high,affordable,various nearby restaurants,10.5114066,7.4546027
7 Star,Unknown,medium,200000,Kaduna,locals and travelers,high,affordable,various nearby restaurants,10.5475755,7.4568973
Chinese Restaurant,chinese,medium,200000,Kaduna,locals and travelers,high,affordable,various nearby restaurants,10.5363721,7.4686203
Chicken Republic,Unknown,medium,200000,Kaduna,locals and travelers,high,affordable,various nearby restaurants,10.5227378,7.433268
Tawakalitu Restaurant,african,medium,200000,Kaduna,locals and travelers,high,affordable,various nearby restaurants,10.5058073,7.4324104
West Point,regional;international;african,medium,200000,Kaduna,locals and travelers,high,affordable,various nearby restaurants,10.505088,7.4307806
The Tea Place By JSEN Delights,coffee_shop;burger;pizza;sandwich;kebab,medium,200000,Kaduna,locals and travelers,high,affordable,various nearby restaurants,10.5481739,7.4521665
